DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,biopharma,1-word phrase,40,63,63%,"The National Biopharma Mission, co-funded with the World Bank ($250 million) , supports over 100 projects and 30 MSMEs",269409
,phrase,citizen centric digital,3-word phrase,40,56,71%,,
,phrase,cyber resilience,2-word phrase,40,60,67%,"By fostering international partnerships, conducting sophisticated cyber exercises, and advocating for stronger cyber security policies, the Center aims to enhance global cyber resilience, protect critical infrastructure, and contribute sign",258650
,phrase,democratisation,1-word phrase,40,53,75%,These domain specific CoEs act as enablers and aid in making India an innovation hub in emerging through democratisation of innovation and realisation of prototypes,257538
,phrase,digital twins,2-word phrase,40,42,95%,"Additionally, port planning initiatives include the implementation of digital twins, advanced analytics-driven yard management, AI/ML-based berth allotment, and the establishment of a Sagarmala digital center of excellence for research on u",252965
,phrase,excellence for skilling,3-word phrase,40,47,85%,"Five National Centres of Excellence for skilling will be set up with global expertise and partnerships to equip our youth with the skills required for “Make for India, Make for the World” manufacturing",266786
,phrase,forecast accuracy,2-word phrase,40,52,77%,"Continuous investment in cutting-edge technology like Quantum computing, Artificial Intelligence, and Big Data analytics is crucial to enhance forecast accuracy and delve deeper into the complexity of the science",252381
,phrase,forecasting systems,2-word phrase,40,51,78%,"The IMD must continue to enhance its observational and forecasting systems, collaborate with international partners, and contribute to global efforts in understanding and mitigating the impacts of climate change",252381
,phrase,international order,2-word phrase,40,62,65%,The SCO extended family shares a commitment to reform the current international order,256663
,phrase,llm,1-word phrase,40,40,100%,"The discussion covered the complexity and requirement of trillion tokens to deliver high quality LLM to suit Indian requirement and the suggestions included to have multi-models, need to upgrade from conversational AI to actionable AI, need",256640
,phrase,platform enables,2-word phrase,40,56,71%,"The U-WIN platform enables automated SMS alerts for registration confirmation, acknowledgment of vaccine doses administered, and reminder SMS for upcoming doses (3 days prior to the due date of vaccination)",263023
,phrase,programming assistant,2-word phrase,40,43,93%,"Training is imparted in computer related trades like Computer Operator and Programming Assistant, Database System Assistant, Software Testing Assistant, etc",257165
,phrase,recognition system,2-word phrase,40,42,95%,"National Automated Finger-Print Identification System (NAFIS) of National Crime Records Bureau (NCRB) has revolutionized the fingerprint recognition system in crime control, with this system, the work of tracing the involvement of interstat",252032
,phrase,safe trusted,2-word phrase,40,53,75%,,
,phrase,telecom technologies,2-word phrase,40,57,70%,"Hailed as the progenitor of the Indigenous Telecom Revolution in the nation, C-DOT, with more than three decades of its relentless R&D efforts in the indigenous design, development and production of telecom technologies especially suited to",254358
,phrase,wadhwani,1-word phrase,40,50,80%,"On 17th January 2024, a Tripartite Memorandum of Understanding (MoU) was signed between the National Farmers’ Welfare Programme Implementation Society, IndiaAI under Digital India Corporation, and Wadhwani Foundation",252478
,phrase,awarding bodies,2-word phrase,39,52,75%,"The Awarding Bodies recognised by NCVET are expected to develop the qualifications as per the industry demand and map them with the identified occupations as per the National Classification of Occupation, 2015, of Ministry of Labour and Emp",257161
,phrase,cybercrimes,1-word phrase,39,55,71%,"The Indian Cyber Crime Coordination Centre (I4C) and Joint Cybercrime Coordination Teams (JCCT) Jamtara, Jharkhand has launched the ‘Pratibimb’ platform which not only aggregates data but also employs geospatial mapping to pinpoint the phys",252032
,phrase,data protection act,3-word phrase,39,62,63%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,doppler weather radars,3-word phrase,39,62,63%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,dwrs,1-word phrase,39,60,65%,"DWRs have already been placed, and additionally, the Expenditure Finance Committee (EFC) has approved the procurement of 53 more DWRs",262971
,phrase,enabled services,2-word phrase,39,60,65%,The Visvesvaraya PhD Scheme aims to enhance the number of PhDs in Electronics System Design & Manufacturing (ESDM) and IT/IT Enabled Services (IT/ITES) sectors including AI and Emerging Technologies,253145
,phrase,global governance,2-word phrase,39,61,64%,How do we strike a balance between national sovereignty and international interdependence? How can we uphold our commitment to international rule of law while advancing national interests? How do we contribute more to global good while adva,253752
,phrase,gpu,1-word phrase,39,40,98%,"Apart from the conventional Compute Infrastructure Services (IAAS), Ananta will also offer PAAS, SAAS and GPU based services",255880
,phrase,industry ready workforce,3-word phrase,39,44,89%,"Government has launched the Chips to Startup (‘C2S’) programme which plans to train 85,000 industry ready workforce at about 113 participating institutions in VLSI and Embedded System Design",269742
,phrase,intel,1-word phrase,39,42,93%,"In line with this objective, the summit will witness over 20 strategic collaborations between NIELIT and Intel, HCL, Microsoft, Kindryl, IIM Raipur, IIITM Gwalior, Wipro, and others",253726
,phrase,largest digital,2-word phrase,39,61,64%,"India Mobile Congress, Asia’s largest digital technology forum, has become a well-known platform across the globe for showcasing innovative solutions, services and state-of-the-art use cases for industry, government, academics, startups and",261092
,phrase,like ibm,2-word phrase,39,42,93%,"DGT has also signed MoU with IT Tech companies like IBM, CISCO, Future Skill Rights Network (erstwhile Quest Alliance), Amazon Web Services (AWS) and Microsoft to ensure industry linkages for the institutes at the state and regional levels ",257161
,phrase,pmkvy jan shikshan,3-word phrase,39,65,60%,,
,phrase,precision agriculture,2-word phrase,39,59,66%,"Apart from the several disruptive programs such as creation of incubation centres, INSPIRE program; NM-ICPS, international bilateral programme centers and several programmes of SERB, we may start some major programmes in areas such as preci",252052
,phrase,sandbox,1-word phrase,39,55,71%,"This FinTech CoE will provide the requisite support like state-of-the-art incubation infrastructure , Sandbox Environment, Industry APIs, Payment Gateways, mentoring, industry & market connect to the startups",254798
,phrase,sarvam,1-word phrase,39,44,89%,"Pratyush Kumar, Co-founder, Sarvam AI, Prof",256640
,phrase,telecommunication union itu,3-word phrase,39,60,65%,,
,phrase,federated,1-word phrase,38,51,75%,It is being built in a federated structure as a collaborative project between the various agencies of the Central and State Governments,259219
,phrase,future technologies,2-word phrase,38,54,70%,"Meta join hands to establish Frontier Technology Labs in schools to democratize access to future technologies and innovation In an effort to democratize future technologies and empower youth to innovate, Atal Innovation Mission (AIM), NITI ",254557
